"","logFC","logCPM","F","PValue","FDR","gene_name","z","gene_id","ovl_with_cherryetal","gene_id_trimmed","Human_gene_id","HGNC.symbol"
"Dok6",1.18271602205555,1.86322094828175,21.4170642058666,0.000347623549271025,0.00434270016029624,"Dok6",3.57695232089247,"ENSMUSG00000073514.4",FALSE,"ENSMUSG00000073514","ENSG00000206052","DOK6"
"Myo5a",0.491067427233335,6.4840531700329,21.3729742755931,0.000350875756022735,0.00437988787129479,"Myo5a",3.57451644811963,"ENSMUSG00000034593.16",TRUE,"ENSMUSG00000034593","ENSG00000197535","MYO5A"
"Dhdh",-0.735959565033285,2.97586379685024,21.3573830894112,0.000352034093435766,0.00439090053953646,"Dhdh",-3.57365396185273,"ENSMUSG00000011382.8",TRUE,"ENSMUSG00000011382","ENSG00000104808","DHDH"
"Thbs1",0.390068089749422,9.9445166135201,21.3162954381968,0.000355107597407746,0.00442576498556064,"Thbs1",3.57137826232311,"ENSMUSG00000040152.8",FALSE,"ENSMUSG00000040152","ENSG00000137801","THBS1"
"Plpp5",0.397241090302877,5.76526861953918,21.2864297319524,0.000357360847241886,0.00445035986976328,"Plpp5",3.56972157233117,"ENSMUSG00000031570.17",TRUE,"ENSMUSG00000031570","ENSG00000147535","PLPP5"
"Zfp36l1",-0.33662935588768,8.6845722017472,21.2761570790696,0.000358139639401018,0.00445507078292951,"Zfp36l1",-3.56915124055787,"ENSMUSG00000021127.7",TRUE,"ENSMUSG00000021127","ENSG00000185650","ZFP36L1"
"Lhfp",0.340327058770308,8.00592376851497,21.2740527598967,0.000358299410888942,0.00445507078292951,"Lhfp",3.56903437871548,"ENSMUSG00000048332.13",TRUE,"ENSMUSG00000048332","ENSG00000183722","LHFPL6"
"Foxc2",1.40888825633445,1.29647417889944,21.2485479125971,0.00036024234882915,0.00447321786135488,"Foxc2",3.56761713961556,"ENSMUSG00000046714.7",TRUE,"ENSMUSG00000046714","ENSG00000176692","FOXC2"
"Galm",-0.597483452989899,3.92839214385556,21.2475128269262,0.000360321453838621,0.00447321786135488,"Galm",-3.56755958952865,"ENSMUSG00000035473.10",FALSE,"ENSMUSG00000035473","ENSG00000143891","GALM"
"Pde11a",1.35220970515422,2.06294022961793,21.2344376908644,0.000361322408810168,0.00448214529431209,"Pde11a",3.56683239847527,"ENSMUSG00000075270.11",FALSE,"ENSMUSG00000075270","ENSG00000128655","PDE11A"
"Slc16a7",-1.47437231609341,1.30894806850182,21.2225394906398,0.000362236017907789,0.00448997614402772,"Slc16a7",-3.56617030641843,"ENSMUSG00000020102.15",TRUE,"ENSMUSG00000020102","ENSG00000118596","SLC16A7"
"Acpp",1.53496907643733,2.27182619153595,21.210197358933,0.000363186496140596,0.00449825143934882,"Acpp",3.5654831504926,"ENSMUSG00000032561.15",TRUE,"ENSMUSG00000032561","ENSG00000014257","ACP3"
"Anks1",-0.441222557536037,5.12517248926253,21.199146075796,0.000364039976391707,0.00450531341988896,"Anks1",-3.56486755139658,"ENSMUSG00000024219.16",TRUE,"ENSMUSG00000024219","ENSG00000064999","ANKS1A"
"Tmsb4x",-0.378099551350639,9.50239519229485,21.1948291115295,0.000364373991872815,0.00450594058534477,"Tmsb4x",-3.56462699971535,"ENSMUSG00000049775.16",TRUE,"ENSMUSG00000049775","ENSG00000154620","TMSB4Y"
"Crip1",0.382832337468769,8.67637138974872,21.1651322345581,0.000366681205452391,0.00453094888135926,"Crip1",3.56297099659513,"ENSMUSG00000006360.11",TRUE,"ENSMUSG00000006360","ENSG00000213145","CRIP1"
"Unc5c",1.44518654876009,3.18395123101917,21.1355662461022,0.000368994796403255,0.00455599708633615,"Unc5c",3.56132016993884,"ENSMUSG00000059921.15",TRUE,"ENSMUSG00000059921","ENSG00000182168","UNC5C"
"Radil",-0.427450785967664,5.07133076999289,21.1108438214987,0.000370942141184326,0.00457648787529429,"Radil",-3.55993815580001,"ENSMUSG00000029576.17",FALSE,"ENSMUSG00000029576","ENSG00000157927","RADIL"
"C1qa",0.743449444336151,3.74941782737853,21.0643576321277,0.000374635570330409,0.00461847246121279,"C1qa",3.55733549024045,"ENSMUSG00000036887.5",TRUE,"ENSMUSG00000036887","ENSG00000173372","C1QA"
"Wsb1",-0.554306439192903,7.80522630317055,21.0566229647806,0.000375254162859933,0.0046225150673598,"Wsb1",-3.55690193053047,"ENSMUSG00000017677.11",TRUE,"ENSMUSG00000017677","ENSG00000109046","WSB1"
"Btg2",-0.366792572130178,10.2963753958584,21.0247280915211,0.000377817328506675,0.00465048682294245,"Btg2",-3.55511254669268,"ENSMUSG00000020423.6",TRUE,"ENSMUSG00000020423","ENSG00000159388","BTG2"
"Lrig3",0.401959141022007,5.57232518896495,21.0170429615295,0.000378437906106362,0.0046545228312525,"Lrig3",3.55468101877478,"ENSMUSG00000020105.9",TRUE,"ENSMUSG00000020105","ENSG00000139263","LRIG3"
"Ets2",-0.436005344394612,6.60374206597615,21.0069419940085,0.00037925533050757,0.00466097180916684,"Ets2",-3.55411361879292,"ENSMUSG00000022895.16",TRUE,"ENSMUSG00000022895","ENSG00000157557","ETS2"
"Gatm",-1.25976217378331,2.30030759217353,20.992760713487,0.00038040635217775,0.00467150750477433,"Gatm",-3.55331659340764,"ENSMUSG00000027199.14",TRUE,"ENSMUSG00000027199","ENSG00000171766","GATM"
"Osr1",-0.429890689443923,5.83482877128259,20.9707551387537,0.000382200319138394,0.00468991641609405,"Osr1",-3.55207884340441,"ENSMUSG00000048387.8",TRUE,"ENSMUSG00000048387","ENSG00000143867","OSR1"
"Bcat1",0.709619586995304,4.93426820449099,20.9518399788493,0.000383750050666454,0.00470530227891181,"Bcat1",3.55101396760893,"ENSMUSG00000030268.17",TRUE,"ENSMUSG00000030268","ENSG00000060982","BCAT1"
"1700017B05Rik",0.4678696255524,5.21707177538024,20.9095702593571,0.000387239179152007,0.00474168396025053,"1700017B05Rik",3.54863109836975,"ENSMUSG00000032300.7",FALSE,"ENSMUSG00000032300","ENSG00000167173","C15orf39"
"Gm32014",-2.03333247618425,1.13256188183852,20.9086739478008,0.000387313554949723,0.00474168396025053,"Gm32014",-3.54858052281958,"ENSMUSG00000111602.1",FALSE,"ENSMUSG00000111602",NA,NA
"Osbpl6",-0.757403474580549,3.56806413293501,20.8848337356909,0.000389297797719798,0.00476230990549073,"Osbpl6",-3.54723457756639,"ENSMUSG00000042359.18",FALSE,"ENSMUSG00000042359","ENSG00000079156","OSBPL6"
