"","logFC","logCPM","F","PValue","FDR","gene_name","z","gene_id","ovl_with_cherryetal","gene_id_trimmed","Human_gene_id","HGNC.symbol"
"Aldh1a3",-1.53621332463401,6.02189996682795,369.597659767754,8.29159855129294e-12,8.32926741350266e-08,"Aldh1a3",-6.83341612296591,"ENSMUSG00000015134.15",TRUE,"ENSMUSG00000015134","ENSG00000184254","ALDH1A3"
"Ptgs2",-1.6063947546165,8.17920442287604,356.13115080549,1.07774801947659e-11,8.32926741350266e-08,"Ptgs2",-6.79571747657328,"ENSMUSG00000032487.8",TRUE,"ENSMUSG00000032487","ENSG00000073756","PTGS2"
"Cmah",-1.46352858354677,6.51521525270444,335.361867509199,1.64644448076197e-11,8.32926741350266e-08,"Cmah",-6.73436759871306,"ENSMUSG00000016756.17",TRUE,"ENSMUSG00000016756",NA,NA
"Gfpt2",-1.61212449702122,9.17396239097593,324.076726189038,2.09501789939072e-11,8.32926741350266e-08,"Gfpt2",-6.6992431223926,"ENSMUSG00000020363.6",TRUE,"ENSMUSG00000020363","ENSG00000131459","GFPT2"
"Errfi1",-1.27654607713507,10.2245929576323,291.46120365987,4.41072705857424e-11,1.13003684302579e-07,"Errfi1",-6.58957993735065,"ENSMUSG00000028967.10",TRUE,"ENSMUSG00000028967","ENSG00000116285","ERRFI1"
"Crabp2",1.70121109417528,4.9845323485283,285.741643870176,5.0670352921102e-11,1.13003684302579e-07,"Crabp2",6.56895276619328,"ENSMUSG00000004885.5",TRUE,"ENSMUSG00000004885","ENSG00000143320","CRABP2"
"Abca6",-1.30116505078535,6.36733018139419,285.566039100195,5.08887424450163e-11,1.13003684302579e-07,"Abca6",-6.56831225180216,"ENSMUSG00000044749.13",TRUE,"ENSMUSG00000044749","ENSG00000154262","ABCA6"
"Pcolce2",-2.00670522624011,7.58558450442819,275.201847089209,6.58939619098948e-11,1.13003684302579e-07,"Pcolce2",-6.52971726408359,"ENSMUSG00000015354.8",TRUE,"ENSMUSG00000015354","ENSG00000163710","PCOLCE2"
"Fgf10",-1.97440466615074,5.12733819137958,274.646345797155,6.68303539085971e-11,1.13003684302579e-07,"Fgf10",-6.52760343788943,"ENSMUSG00000021732.14",TRUE,"ENSMUSG00000021732","ENSG00000070193","FGF10"
"Tek",-1.77386208310414,6.76511392548414,272.24390027679,7.10580923741302e-11,1.13003684302579e-07,"Tek",-6.5184067444345,"ENSMUSG00000006386.15",TRUE,"ENSMUSG00000006386","ENSG00000120156","TEK"
"Dpp4",-1.62369684275715,7.69356206542345,255.92410685578,1.0932724403647e-10,1.58057378355635e-07,"Dpp4",-6.4534567079131,"ENSMUSG00000035000.8",TRUE,"ENSMUSG00000035000","ENSG00000197635","DPP4"
"Fgf2",-1.25593245836464,5.62562248503564,231.719643791463,2.17878831841552e-10,2.84986678611533e-07,"Fgf2",-6.34817875705988,"ENSMUSG00000037225.13",TRUE,"ENSMUSG00000037225","ENSG00000138685","FGF2"
"Smpd3",-2.87504775839663,5.77082918649997,221.993410015433,2.93069036564717e-10,2.84986678611533e-07,"Smpd3",-6.30240136978316,"ENSMUSG00000031906.9",TRUE,"ENSMUSG00000031906","ENSG00000103056","SMPD3"
"Car8",-2.35954691065716,4.56029486695618,220.343106732551,3.08562153719867e-10,2.84986678611533e-07,"Car8",-6.29441457050686,"ENSMUSG00000041261.9",TRUE,"ENSMUSG00000041261","ENSG00000178538","CA8"
"Ackr3",-1.19940361965302,9.61200647609249,218.226726091704,3.2981156841409e-10,2.84986678611533e-07,"Ackr3",-6.28407495207326,"ENSMUSG00000044337.5",TRUE,"ENSMUSG00000044337","ENSG00000144476","ACKR3"
"Mgp",1.30651968970471,8.59011584394213,218.129939627216,3.30822399634339e-10,2.84986678611533e-07,"Mgp",6.2835994560976,"ENSMUSG00000030218.2",TRUE,"ENSMUSG00000030218","ENSG00000111341","MGP"
"Arl4d",-1.58909055276873,4.68569436985653,216.963348613743,3.43287302127757e-10,2.84986678611533e-07,"Arl4d",-6.27784979811081,"ENSMUSG00000034936.2",TRUE,"ENSMUSG00000034936","ENSG00000175906","ARL4D"
"Card10",-1.32898348135655,5.2090157549436,215.589425736356,3.58657440387323e-10,2.84986678611533e-07,"Card10",-6.27103436558634,"ENSMUSG00000033170.14",TRUE,"ENSMUSG00000033170","ENSG00000100065","CARD10"
"Acp5",1.399377155098,5.88390640545059,213.861730275327,3.79107538133038e-10,2.84986678611533e-07,"Acp5",6.26239566044481,"ENSMUSG00000001348.15",TRUE,"ENSMUSG00000001348","ENSG00000102575","ACP5"
"Cd55",-1.22380441061464,8.03877359181327,212.405680133354,3.97375340221925e-10,2.84986678611533e-07,"Cd55",-6.25505519774932,"ENSMUSG00000026399.12",TRUE,"ENSMUSG00000026399","ENSG00000196352","CD55"
"Timp1",1.40833701937961,8.53976536117723,212.300202056781,3.98737068513898e-10,2.84986678611533e-07,"Timp1",6.25452129002363,"ENSMUSG00000001131.11",TRUE,"ENSMUSG00000001131","ENSG00000102265","TIMP1"
"Ugdh",-1.38764227210289,9.09809026627645,210.968284925337,4.16396497217777e-10,2.84986678611533e-07,"Ugdh",-6.24775411318493,"ENSMUSG00000029201.14",TRUE,"ENSMUSG00000029201","ENSG00000109814","UGDH"
"Ddah1",2.13551476753854,4.79265090043153,210.249666383571,4.26292601731762e-10,2.84986678611533e-07,"Ddah1",6.24408336386615,"ENSMUSG00000028194.15",TRUE,"ENSMUSG00000028194","ENSG00000153904","DDAH1"
"Gpc1",1.42504017578122,6.35715731793956,208.80182095538,4.47053635713554e-10,2.84986678611533e-07,"Gpc1",6.23664545384665,"ENSMUSG00000034220.7",TRUE,"ENSMUSG00000034220","ENSG00000063660","GPC1"
"Sdc1",1.12121274177561,7.84164961270476,208.737129780582,4.48007732207026e-10,2.84986678611533e-07,"Sdc1",6.23631179369504,"ENSMUSG00000020592.14",TRUE,"ENSMUSG00000020592","ENSG00000115884","SDC1"
"Fst",-1.35599667845229,6.82516298532861,203.598391401779,5.31748592592401e-10,3.25246071846037e-07,"Fst",-6.20943671165353,"ENSMUSG00000021765.9",TRUE,"ENSMUSG00000021765","ENSG00000134363","FST"
"Serpine2",1.25036662784057,8.19969921973919,200.960431832046,5.81562903443304e-10,3.42540550128106e-07,"Serpine2",6.19534827605296,"ENSMUSG00000026249.10",TRUE,"ENSMUSG00000026249","ENSG00000135919","SERPINE2"
"Col20a1",-2.44888033838259,4.89019943337494,198.749221853206,6.27430588873103e-10,3.56358166244605e-07,"Col20a1",-6.1833809408594,"ENSMUSG00000016356.18",TRUE,"ENSMUSG00000016356","ENSG00000101203","COL20A1"
"Fhl2",1.29954358083806,5.34704387358009,195.808292771574,6.94945153972584e-10,3.64996224125175e-07,"Fhl2",6.16723482888715,"ENSMUSG00000008136.14",TRUE,"ENSMUSG00000008136","ENSG00000115641","FHL2"
"Tubb4a",-1.57296565367303,4.27839895930502,194.300756461417,7.32731090087291e-10,3.64996224125175e-07,"Tubb4a",-6.15885428047385,"ENSMUSG00000062591.5",TRUE,"ENSMUSG00000062591","ENSG00000104833","TUBB4A"
"Ctsc",1.48042378241888,6.74792249553645,193.862541784153,7.44148953717441e-10,3.64996224125175e-07,"Ctsc",6.15640475082424,"ENSMUSG00000030560.17",TRUE,"ENSMUSG00000030560","ENSG00000109861","CTSC"
"Myoc",-1.33685446658013,8.60235718368116,190.960052684533,8.25085986523601e-10,3.64996224125175e-07,"Myoc",-6.14002479973365,"ENSMUSG00000026697.10",TRUE,"ENSMUSG00000026697","ENSG00000034971","MYOC"
"Anxa8",1.43953853212377,5.13698001866006,190.945375911301,8.2551992262962e-10,3.64996224125175e-07,"Anxa8",6.13994127701597,"ENSMUSG00000021950.15",TRUE,"ENSMUSG00000021950","ENSG00000265190","ANXA8"
"Abca8a",-1.30266869018801,8.63531912707004,190.779037618763,8.30456079700754e-10,3.64996224125175e-07,"Abca8a",-6.1389941828405,"ENSMUSG00000041828.15",TRUE,"ENSMUSG00000041828",NA,NA
"Fgl2",-1.23138999517678,8.42339713328351,190.469458049943,8.39732554167602e-10,3.64996224125175e-07,"Fgl2",-6.1372290790043,"ENSMUSG00000039899.5",TRUE,"ENSMUSG00000039899","ENSG00000127951","FGL2"
"Sema3c",-1.3378514561728,8.75620631005669,190.228212217028,8.4704310117703e-10,3.64996224125175e-07,"Sema3c",-6.13585139510073,"ENSMUSG00000028780.13",TRUE,"ENSMUSG00000028780","ENSG00000075223","SEMA3C"
"Ccn5",1.64684361186405,7.99888842500788,190.157419681004,8.49202055752467e-10,3.64996224125175e-07,"Ccn5",6.13544675442993,"ENSMUSG00000027656.7",TRUE,"ENSMUSG00000027656","ENSG00000064205","CCN5"
"Col8a2",1.45245875163837,5.19488109748107,189.327501872999,8.74983993418079e-10,3.66180801245466e-07,"Col8a2",6.13069064025397,"ENSMUSG00000056174.8",TRUE,"ENSMUSG00000056174","ENSG00000171812","COL8A2"
"Pgr",-1.50672265290425,5.67899824222781,184.417184882829,1.04702083705256e-09,4.25379875279213e-07,"Pgr",-6.10207215844725,"ENSMUSG00000031870.16",TRUE,"ENSMUSG00000031870","ENSG00000082175","PGR"
"Anxa3",-1.7868976285266,8.24552616489563,183.833013081688,1.06993617626665e-09,4.25379875279213e-07,"Anxa3",-6.09861170440016,"ENSMUSG00000029484.12",TRUE,"ENSMUSG00000029484","ENSG00000138772","ANXA3"
"Lvrn",-1.71446766599035,5.18726798400369,182.408237321578,1.12825564534361e-09,4.3121455524676e-07,"Lvrn",-6.09012073857582,"ENSMUSG00000024481.5",TRUE,"ENSMUSG00000024481","ENSG00000172901","LVRN"
"Slc7a2",1.30366656501796,6.20658702406486,182.084960485967,1.14198582295495e-09,4.3121455524676e-07,"Slc7a2",6.0881840021003,"ENSMUSG00000031596.15",TRUE,"ENSMUSG00000031596","ENSG00000003989","SLC7A2"
"Zbtb16",-2.08348428605823,3.48147344976505,181.530992463196,1.16595773600017e-09,4.3121455524676e-07,"Zbtb16",-6.08485638726882,"ENSMUSG00000066687.5",TRUE,"ENSMUSG00000066687","ENSG00000109906","ZBTB16"
"Epas1",1.03939486338477,7.45837701409508,180.149556905416,1.22826849781202e-09,4.39497075102387e-07,"Epas1",6.07650934469812,"ENSMUSG00000024140.10",TRUE,"ENSMUSG00000024140","ENSG00000116016","EPAS1"
"Tmeff2",-1.34804221544012,6.48118858471359,179.821316818709,1.24362500028972e-09,4.39497075102387e-07,"Tmeff2",-6.07451565977006,"ENSMUSG00000026109.14",TRUE,"ENSMUSG00000026109","ENSG00000144339","TMEFF2"
"Cpz",1.07028963263554,6.18412924408753,177.752915881784,1.3455664406686e-09,4.65185719694625e-07,"Cpz",6.06185960726312,"ENSMUSG00000036596.6",TRUE,"ENSMUSG00000036596","ENSG00000109625","CPZ"
"Krt19",-2.293502999339,3.59269205029727,176.220864516084,1.42720940848481e-09,4.70450892091428e-07,"Krt19",-6.05238041593236,"ENSMUSG00000020911.14",TRUE,"ENSMUSG00000020911","ENSG00000171345","KRT19"
"Ccn4",1.64892641057536,5.59516318978402,175.189490555633,1.48534158886422e-09,4.70450892091428e-07,"Ccn4",6.04594782866942,"ENSMUSG00000005124.10",TRUE,"ENSMUSG00000005124","ENSG00000104415","CCN4"
"Galnt15",-1.35455808407151,5.93004075708932,175.143389624243,1.48800216409218e-09,4.70450892091428e-07,"Galnt15",-6.04565932913295,"ENSMUSG00000021903.11",TRUE,"ENSMUSG00000021903","ENSG00000131386","GALNT15"
"Arhgap20",-1.73577465378906,5.26799769063072,174.878250649,1.50340940521099e-09,4.70450892091428e-07,"Arhgap20",-6.04399846632078,"ENSMUSG00000053199.13",TRUE,"ENSMUSG00000053199","ENSG00000137727","ARHGAP20"
"Cacna1c",1.36927783470135,5.21298444362804,174.787768380878,1.50870876543186e-09,4.70450892091428e-07,"Cacna1c",6.04343104027338,"ENSMUSG00000051331.15",TRUE,"ENSMUSG00000051331","ENSG00000151067","CACNA1C"
"Efhd1",-1.78699774426161,6.04484143778755,172.533748780594,1.64782897900828e-09,4.89756041008583e-07,"Efhd1",-6.02919056112968,"ENSMUSG00000026255.15",TRUE,"ENSMUSG00000026255","ENSG00000115468","EFHD1"
"Scara5",-1.46560606164207,8.66655813236843,172.162288772302,1.67212800979168e-09,4.89756041008583e-07,"Scara5",-6.02682411344471,"ENSMUSG00000022032.14",TRUE,"ENSMUSG00000022032","ENSG00000168079","SCARA5"
"Col8a1",1.47115550550146,8.08022786811774,172.092661567226,1.67672784668593e-09,4.89756041008583e-07,"Col8a1",6.02637991683733,"ENSMUSG00000068196.5",TRUE,"ENSMUSG00000068196","ENSG00000144810","COL8A1"
"Lims2",-1.5774258824022,4.98642546033042,171.836051357279,1.69380508429051e-09,4.89756041008583e-07,"Lims2",-6.02474112741819,"ENSMUSG00000024395.9",TRUE,"ENSMUSG00000024395","ENSG00000072163","LIMS2"
"Ednra",1.26653125826863,6.60622379608451,168.095773663673,1.96656999534745e-09,5.58470761357329e-07,"Ednra",6.00054445501581,"ENSMUSG00000031616.7",TRUE,"ENSMUSG00000031616","ENSG00000151617","EDNRA"
"Npr1",-1.91376524944968,6.35614143001382,167.334281033438,2.02803277057546e-09,5.65821142990554e-07,"Npr1",-5.99554567881308,"ENSMUSG00000027931.12",TRUE,"ENSMUSG00000027931","ENSG00000169418","NPR1"
"Dkk3",1.17496554356155,7.38714608185765,164.917475459316,2.23804998199896e-09,6.11194994288577e-07,"Dkk3",5.97951351203015,"ENSMUSG00000030772.6",TRUE,"ENSMUSG00000030772","ENSG00000050165","DKK3"
"Pcsk6",-1.26829320963467,8.05932705939304,164.598971311647,2.26752843256153e-09,6.11194994288577e-07,"Pcsk6",-5.97738143732392,"ENSMUSG00000030513.14",TRUE,"ENSMUSG00000030513","ENSG00000140479","PCSK6"
"Ifi207",-0.96447650210769,7.47995070861214,162.864445978482,2.43601871530716e-09,6.45666760492162e-07,"Ifi207",-5.96569035115671,"ENSMUSG00000073490.11",TRUE,"ENSMUSG00000073490",NA,NA
"Ppp2r2b",-2.44371455097491,2.89443150089671,161.565912443759,2.57149119284628e-09,6.70400400653023e-07,"Ppp2r2b",-5.95684805349371,"ENSMUSG00000024500.19",TRUE,"ENSMUSG00000024500","ENSG00000156475","PPP2R2B"
"Fez1",-1.62828196435955,4.84654870649589,160.72938251126,2.66329509513263e-09,6.83135191901519e-07,"Fez1",-5.95111030379395,"ENSMUSG00000032118.16",TRUE,"ENSMUSG00000032118","ENSG00000149557","FEZ1"
"Pla1a",-1.367405743331,8.23119048739781,159.67276208738,2.78462329661928e-09,7.02918480732325e-07,"Pla1a",-5.94381590128905,"ENSMUSG00000002847.7",TRUE,"ENSMUSG00000002847","ENSG00000144837","PLA1A"
"Gsn",-1.39203231953215,14.0533329331858,158.84208313544,2.88442682376273e-09,7.10960206112538e-07,"Gsn",-5.93804397596363,"ENSMUSG00000026879.14",TRUE,"ENSMUSG00000026879","ENSG00000148180","GSN"
"Mmp13",2.19853399181981,6.40501799433978,158.667685823622,2.90589281250801e-09,7.10960206112538e-07,"Mmp13",5.93682797672709,"ENSMUSG00000050578.10",TRUE,"ENSMUSG00000050578","ENSG00000137745","MMP13"
"Qpct",-1.28531549502023,6.04239982438532,158.104261727918,2.9764935669446e-09,7.17199654471515e-07,"Qpct",-5.93288940533033,"ENSMUSG00000024084.8",TRUE,"ENSMUSG00000024084","ENSG00000115828","QPCT"
"Efemp1",-0.981144879449498,8.93454707347588,156.921953919234,3.13107520504967e-09,7.431864027747e-07,"Efemp1",-5.92457424802774,"ENSMUSG00000020467.15",TRUE,"ENSMUSG00000020467","ENSG00000115380","EFEMP1"
"Cpxm1",0.935033216716694,9.65309731753816,154.87517567636,3.42075741970985e-09,8.00004488906556e-07,"Cpxm1",5.91001540362193,"ENSMUSG00000027408.7",TRUE,"ENSMUSG00000027408","ENSG00000088882","CPXM1"
"Col7a1",1.69811407011026,4.68100545572668,153.264154067738,3.67028109122418e-09,8.45920002807799e-07,"Col7a1",5.89840683319329,"ENSMUSG00000025650.13",TRUE,"ENSMUSG00000025650",NA,NA
"Spp1",1.67572335940779,7.94755212977798,151.970517849125,3.88567831274428e-09,8.82770602965319e-07,"Spp1",5.88898792591125,"ENSMUSG00000029304.14",TRUE,"ENSMUSG00000029304","ENSG00000118785","SPP1"
"Dpep1",-1.56384594560128,8.09460267211886,151.398816648977,3.98542043898424e-09,8.92678045650231e-07,"Dpep1",-5.88479733634197,"ENSMUSG00000019278.5",TRUE,"ENSMUSG00000019278","ENSG00000015413","DPEP1"
"Cryaa",2.15214828336551,3.47752206339541,150.55983351072,4.1371075643504e-09,9.01763826387564e-07,"Cryaa",5.87861603504432,"ENSMUSG00000024041.10",TRUE,"ENSMUSG00000024041","ENSG00000160202","CRYAA"
"Mmp3",1.28031920515114,10.3870306369112,150.547463965666,4.13939252507654e-09,9.01763826387564e-07,"Mmp3",5.87852461871105,"ENSMUSG00000043613.8",TRUE,"ENSMUSG00000043613","ENSG00000149968","MMP3"
"Creb5",-1.28422532585298,6.05102547161662,149.964424215248,4.24873923546185e-09,9.1307702785878e-07,"Creb5",-5.87420633201418,"ENSMUSG00000053007.9",TRUE,"ENSMUSG00000053007","ENSG00000146592","CREB5"
"Adm",-1.00649934296582,6.06327492080909,148.566868982253,4.52447027695777e-09,9.59368677526125e-07,"Adm",-5.86377994139033,"ENSMUSG00000030790.15",TRUE,"ENSMUSG00000030790","ENSG00000148926","ADM"
"Ptx3",-1.67047976145491,8.79642307128046,147.933926589469,4.65599684290381e-09,9.66444010116636e-07,"Ptx3",-5.85902247631899,"ENSMUSG00000027832.5",TRUE,"ENSMUSG00000027832","ENSG00000163661","PTX3"
"Angptl7",1.55955009391181,4.60839383013659,147.823526269399,4.67938054322964e-09,9.66444010116636e-07,"Angptl7",5.85819037544821,"ENSMUSG00000028989.3",TRUE,"ENSMUSG00000028989","ENSG00000171819","ANGPTL7"
"Plpp3",-1.11790080965616,9.66762286738,146.450233758646,4.98169622612216e-09,1.00268760487135e-06,"Plpp3",-5.84778240368548,"ENSMUSG00000028517.8",TRUE,"ENSMUSG00000028517","ENSG00000284686",""
"Opcml",-1.50626529156637,4.8917032288072,146.178910268312,5.04401737972134e-09,1.00268760487135e-06,"Opcml",-5.84571343322761,"ENSMUSG00000062257.13",TRUE,"ENSMUSG00000062257","ENSG00000183715","OPCML"
"Col1a1",0.890021119009475,14.8298440678462,145.25725870971,5.26242749184028e-09,1.03318993089798e-06,"Col1a1",5.8386538493379,"ENSMUSG00000001506.10",TRUE,"ENSMUSG00000001506","ENSG00000108821","COL1A1"
"Ifi204",-1.02200035044668,7.54038984027233,143.760536663821,5.64041644275052e-09,1.09389686206173e-06,"Ifi204",-5.82708418201711,"ENSMUSG00000073489.6",TRUE,"ENSMUSG00000073489","ENSG00000163563","MNDA"
"Socs1",-0.938244354332618,6.72170910232018,142.029841156366,6.11652423861617e-09,1.17194078273148e-06,"Socs1",-5.81354028826745,"ENSMUSG00000038037.5",TRUE,"ENSMUSG00000038037","ENSG00000185338","SOCS1"
"Tnc",1.48802369909332,8.81332792409175,140.491494693732,6.57834860688676e-09,1.24542235589667e-06,"Tnc",5.8013490877141,"ENSMUSG00000028364.15",TRUE,"ENSMUSG00000028364","ENSG00000041982","TNC"
"Ptk7",1.39240116633553,4.83225186278756,140.193342109252,6.67237196025192e-09,1.24836154451631e-06,"Ptk7",5.79896936368529,"ENSMUSG00000023972.10",TRUE,"ENSMUSG00000023972","ENSG00000112655","PTK7"
"Sema7a",1.65311556781552,6.07088549163922,139.931859408941,6.75608989613164e-09,1.24932671649048e-06,"Sema7a",5.79687775887361,"ENSMUSG00000038264.8",TRUE,"ENSMUSG00000038264","ENSG00000138623","SEMA7A"
"Thbd",-1.20341078247488,8.30446309191609,137.120774231502,7.73572466316143e-09,1.41403711860065e-06,"Thbd",-5.77411792692108,"ENSMUSG00000074743.4",TRUE,"ENSMUSG00000074743","ENSG00000178726","THBD"
"Nova1",-1.34142864070124,6.73371056773228,135.916982893248,8.20388245141485e-09,1.48257207528239e-06,"Nova1",-5.76421490876957,"ENSMUSG00000021047.7",TRUE,"ENSMUSG00000021047","ENSG00000139910","NOVA1"
"Bgn",1.0710076082524,11.9495333435693,135.171934225678,8.50974160823913e-09,1.52056652579581e-06,"Bgn",5.75803757441631,"ENSMUSG00000031375.17",TRUE,"ENSMUSG00000031375","ENSG00000182492","BGN"
"Fbln7",0.868907101587765,8.92094964156846,134.390493135895,8.84454654377486e-09,1.56283137428502e-06,"Fbln7",5.75151837556506,"ENSMUSG00000027386.9",TRUE,"ENSMUSG00000027386","ENSG00000144152","FBLN7"
"Sparc",0.806382889861925,13.5733676501508,133.566831537969,9.21374754209004e-09,1.60112172017546e-06,"Sparc",5.744601939295,"ENSMUSG00000018593.13",TRUE,"ENSMUSG00000018593","ENSG00000113140","SPARC"
"Megf9",-1.10841155631187,5.79980168641319,133.4606512994,9.26260443036801e-09,1.60112172017546e-06,"Megf9",-5.74370693349502,"ENSMUSG00000039270.9",TRUE,"ENSMUSG00000039270","ENSG00000106780","MEGF9"
"Enpep",-1.03150706533097,7.09539066791583,132.128922558134,9.90106018611258e-09,1.67506978872073e-06,"Enpep",-5.73241509298129,"ENSMUSG00000028024.14",TRUE,"ENSMUSG00000028024","ENSG00000138792","ENPEP"
"Tnfaip6",-1.29844523180564,10.2761131002431,131.414717080565,1.02639841062188e-08,1.70478229518593e-06,"Tnfaip6",-5.72630793836378,"ENSMUSG00000053475.5",TRUE,"ENSMUSG00000053475","ENSG00000123610","TNFAIP6"
"Fbn2",1.378578146199,6.25544503818235,131.362542984419,1.02910834646198e-08,1.70478229518593e-06,"Fbn2",5.72586037842227,"ENSMUSG00000024598.9",TRUE,"ENSMUSG00000024598","ENSG00000138829","FBN2"
"Ackr2",-1.81963291918325,4.24149246246186,129.777365144919,1.11545194319166e-08,1.79929403286954e-06,"Ackr2",-5.71216905525071,"ENSMUSG00000044534.8",TRUE,"ENSMUSG00000044534","ENSG00000144648","ACKR2"
"F2rl1",1.73154039532126,4.48926309238086,129.695954532214,1.12010381219949e-08,1.79929403286954e-06,"F2rl1",5.71146098047596,"ENSMUSG00000021678.9",TRUE,"ENSMUSG00000021678","ENSG00000164251","F2RL1"
"Col18a1",1.11480956309662,9.80310875715117,129.399531647221,1.13722892401302e-08,1.80243272665397e-06,"Col18a1",5.70887871376788,"ENSMUSG00000001435.15",TRUE,"ENSMUSG00000001435","ENSG00000182871","COL18A1"
"Aqp1",1.17929481450027,7.30886307134986,128.838585788449,1.17045697588807e-08,1.80243272665397e-06,"Aqp1",5.70397435029215,"ENSMUSG00000004655.5",TRUE,"ENSMUSG00000004655","ENSG00000250424",""
"Pdgfrl",0.962662337896005,6.72735961590058,128.808676094892,1.17225944625637e-08,1.80243272665397e-06,"Pdgfrl",5.70371219475341,"ENSMUSG00000031595.9",TRUE,"ENSMUSG00000031595","ENSG00000104213","PDGFRL"
"Engase",-1.27391039259291,5.33465454559291,128.758707877856,1.17527776032483e-08,1.80243272665397e-06,"Engase",-5.70327407992586,"ENSMUSG00000033857.12",TRUE,"ENSMUSG00000033857","ENSG00000167280","ENGASE"
"Ppp1r9a",-1.60804737397413,3.57889331004188,128.348885660728,1.20036896767535e-08,1.80243272665397e-06,"Ppp1r9a",-5.69967379281273,"ENSMUSG00000032827.15",TRUE,"ENSMUSG00000032827","ENSG00000158528","PPP1R9A"
"L1cam",-2.3590219877046,2.99281599226003,128.330839973115,1.20148772160199e-08,1.80243272665397e-06,"L1cam",-5.69951497314073,"ENSMUSG00000031391.18",TRUE,"ENSMUSG00000031391","ENSG00000198910","L1CAM"
"Cadm3",-1.39816324950503,7.07348180385822,128.233319105236,1.207554133585e-08,1.80243272665397e-06,"Cadm3",-5.69865627220147,"ENSMUSG00000005338.13",TRUE,"ENSMUSG00000005338","ENSG00000162706","CADM3"
"Rgs2",0.895506397733188,6.80485187149855,128.150568451963,1.21272905585094e-08,1.80243272665397e-06,"Rgs2",5.69792706823096,"ENSMUSG00000026360.9",TRUE,"ENSMUSG00000026360","ENSG00000116741","RGS2"
"Chpf",0.873139153295288,7.37351570686815,127.6965305733,1.24157538360368e-08,1.82821975235642e-06,"Chpf",5.69391688942109,"ENSMUSG00000032997.16",TRUE,"ENSMUSG00000032997","ENSG00000123989","CHPF"
"Kcna1",-2.61014206166719,2.22368949320606,127.128065661282,1.27879729568969e-08,1.86548097167743e-06,"Kcna1",-5.68887406558785,"ENSMUSG00000047976.4",TRUE,"ENSMUSG00000047976","ENSG00000111262","KCNA1"
"Hdac7",-0.846816282634303,7.0832563331311,126.181698294516,1.34361199349878e-08,1.92499653446947e-06,"Hdac7",-5.68042405817547,"ENSMUSG00000022475.19",TRUE,"ENSMUSG00000022475","ENSG00000061273","HDAC7"
"Ccn2",0.830764717124875,7.38809385128212,125.920563578361,1.36214819454009e-08,1.93412881587241e-06,"Ccn2",5.67808023935775,"ENSMUSG00000019997.11",TRUE,"ENSMUSG00000019997","ENSG00000118523","CCN2"
"Aif1l",-1.59755104844005,5.02883693021387,125.678380585696,1.37959926612356e-08,1.94157231231531e-06,"Aif1l",-5.67590177774631,"ENSMUSG00000001864.13",TRUE,"ENSMUSG00000001864","ENSG00000126878","AIF1L"
"Cd80",1.31554084482665,5.24502190584983,125.116791946437,1.421052349288e-08,1.98236802725676e-06,"Cd80",5.67083255760311,"ENSMUSG00000075122.5",TRUE,"ENSMUSG00000075122","ENSG00000121594","CD80"
"Ptpn5",-1.29679828071623,5.06585149997596,124.671125312189,1.45495765584193e-08,2.00854123713556e-06,"Ptpn5",-5.66679202161271,"ENSMUSG00000030854.17",TRUE,"ENSMUSG00000030854","ENSG00000110786","PTPN5"
"Inhbb",1.68402797101491,4.52549652922507,124.540428856787,1.46507441053716e-08,2.00854123713556e-06,"Inhbb",5.66560410390008,"ENSMUSG00000037035.5",TRUE,"ENSMUSG00000037035","ENSG00000163083","INHBB"
"Gan",-1.31590899790569,6.3039409614228,124.323103290722,1.48207432627091e-08,2.01448102655438e-06,"Gan",-5.66362578949117,"ENSMUSG00000052557.11",TRUE,"ENSMUSG00000052557","ENSG00000261609","GAN"
"Phlda3",1.08336552930436,5.72644227050563,123.531167024725,1.54594700620079e-08,2.08349112200094e-06,"Phlda3",5.65638475293183,"ENSMUSG00000041801.5",TRUE,"ENSMUSG00000041801","ENSG00000174307","PHLDA3"
"Ackr1",-1.34563265050631,4.32737713119278,122.225046595348,1.65824758520408e-08,2.21605977710088e-06,"Ackr1",-5.64433101844258,"ENSMUSG00000037872.5",TRUE,"ENSMUSG00000037872","ENSG00000213088","ACKR1"
"Adamtsl3",-1.11048743935345,4.97844035147538,121.822826598381,1.69467696137507e-08,2.24587064306231e-06,"Adamtsl3",-5.64059077535036,"ENSMUSG00000070469.12",TRUE,"ENSMUSG00000070469","ENSG00000156218","ADAMTSL3"
"Cxcl13",-2.33923175747575,4.49071183709002,120.461565552849,1.82488855467867e-08,2.39844650289709e-06,"Cxcl13",-5.62783184563623,"ENSMUSG00000023078.6",TRUE,"ENSMUSG00000023078","ENSG00000156234","CXCL13"
"Csgalnact1",1.19215796836736,5.87507569631058,120.128564323846,1.85844904942408e-08,2.42253403549107e-06,"Csgalnact1",5.62468674955606,"ENSMUSG00000036356.15",TRUE,"ENSMUSG00000036356","ENSG00000147408","CSGALNACT1"
"Krt80",-1.34891244811856,3.91409084791508,119.977203338672,1.87393496344502e-08,2.42286079054196e-06,"Krt80",-5.62325405015733,"ENSMUSG00000037185.9",TRUE,"ENSMUSG00000037185","ENSG00000167767","KRT80"
